CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,Total Incidents
17/06/16,13:00:00,7A,7200 BROOKCREST WAY,O,,631,NORTHWESTERN,Fallstaff,"(39.3661100000, -76.7093900000)",1
17/06/16,13:15:00,5C,2400 BRIARWOOD RD,I,,533,NORTHERN,Mount Washington,"(39.3609900000, -76.6713100000)",1
17/06/16,13:41:00,3B,100 S HIGH ST,O,,211,SOUTHEASTERN,Jonestown,"(39.2887600000, -76.6031800000)",1
17/06/16,13:45:00,4E,FRANKLINTOWN RD & W BALTIMORE ST,O,HANDS,842,SOUTHWESTERN,Shipley Hill,"(39.2876300000, -76.6588400000)",1
17/06/16,13:47:00,6J,2600 SISSON ST,I,,511,NORTHERN,Jones Falls Area,"(39.3176600000, -76.6238800000)",1
17/06/16,13:50:00,4E,100 S EXETER ST,O,HANDS,211,SOUTHEASTERN,Jonestown,"(39.2890900000, -76.6023300000)",1
17/06/16,14:00:00,6D,2500 SAINT PAUL ST,O,,512,NORTHERN,Charles Village,"(39.3179900000, -76.6154300000)",1
17/06/16,15:00:00,6G,2000 HARMAN AVE,I,,831,SOUTHWESTERN,Morrell Park,"(39.2658400000, -76.6507700000)",1
17/06/16,15:00:00,7A,1900 HARMAN AVE,O,,831,SOUTHWESTERN,Morrell Park,"(39.2663700000, -76.6514200000)",1
17/06/16,15:19:00,6D,3700 MANCHESTER AVE,O,,614,NORTHWESTERN,Central Park Heights,"(39.3425200000, -76.6763700000)",1
17/06/16,15:30:00,3NO,200 ST MATTHEWS ST,I,OTHER,211,SOUTHEASTERN,Pleasant View Gardens,"(39.2941000000, -76.6037200000)",1
17/06/16,15:30:00,6C,3700 BOSTON ST,I,,233,SOUTHEASTERN,Canton Industrial Area,"(39.2771000000, -76.5653800000)",1
17/06/16,15:35:00,4B,1200 N LONGWOOD ST,O,KNIFE,814,SOUTHWESTERN,Winchester,"(39.3015600000, -76.6673500000)",1
